Gene.stable.ID	Gene.name	logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSMUSG00000051000	Fhip1a	-3.95291430006339	4.68372841599797	-44.8626558117148	2.30066958968311e-13	2.04584304370202e-10	21.1584692328303
ENSMUSG00000029767	Calu	2.7147153172561	8.47728749214729	44.522756946028	2.49145806007434e-13	2.11479490062855e-10	21.3038107577705
ENSMUSG00000038811	Gngt2	3.75230481365174	7.33019812102347	43.1613005791148	3.44915786573984e-13	2.80041626020982e-10	20.9782346315618
ENSMUSG00000034450	Gulo	3.75297615709636	6.08019839803222	42.8360373700065	3.73347883475957e-13	2.8317913258698e-10	20.8713941444886
ENSMUSG00000033871	Ppargc1b	-3.25983939077838	4.81200704759736	-42.7495176915992	3.8133594886114e-13	2.8317913258698e-10	20.7742561652626
ENSMUSG00000013846	St3gal1	-3.23303508176944	5.62519885175061	-42.6135167090278	3.94273184495098e-13	2.8317913258698e-10	20.8172400221571
ENSMUSG00000085794	Vax2os	-4.14164468645357	5.5418447522692	-41.2851758106302	5.49253743503255e-13	3.79880163191844e-10	20.4680733281018
ENSMUSG00000040543	Pitpnm3	-3.19182850802305	7.65134156392673	-40.8437009731066	6.14666352191392e-13	4.09046638390595e-10	20.3970978093087
ENSMUSG00000031557	Plekha2	-4.43967622662138	3.7880554360928	-40.7154485785256	6.3523361429406e-13	4.09046638390595e-10	19.93492329282
ENSMUSG00000047547	Cltb	2.46381174567456	7.87121088457417	40.1726820061159	7.31009247245904e-13	4.55028889435667e-10	20.2192693638972
ENSMUSG00000032292	Nr2e3	-12.4797492741854	3.06126121609344	-39.9532036692381	7.74134900021487e-13	4.66328874935524e-10	16.0704577028892
ENSMUSG00000030283	St8sia1	-2.68554810147926	6.28471102024606	-38.95703133572	1.00816102550378e-12	5.88324968445549e-10	19.9066282683321
ENSMUSG00000064330	Pde6h	2.56912931431753	8.22754160855283	38.7659348798286	1.06136857455837e-12	6.00605962463726e-10	19.8371504292978
ENSMUSG00000111755	Gm47160	-5.89732738271761	3.89438996099851	-38.4007213517327	1.17181281285715e-12	6.27346986361585e-10	19.1785936580283
ENSMUSG00000054206	Gzmm	2.8110692360064	4.77012271690017	38.3882073040306	1.17581367262801e-12	6.27346986361585e-10	19.7084267497784
ENSMUSG00000021098	4930447C04Rik	2.19913353367821	7.54467170131525	38.0627176563307	1.28531119048505e-12	6.50126733015333e-10	19.6462290257584
ENSMUSG00000032420	Nt5e	-2.7113024703829	6.30572320324404	-38.0547213241854	1.28813800586737e-12	6.50126733015333e-10	19.6598135746341
ENSMUSG00000131087		5.08210788732799	4.4649799134615	37.7858140110307	1.38727818810632e-12	6.64885471824659e-10	19.3273731167344
ENSMUSG00000027883	Gpsm2	-3.17210381233146	6.16092921504296	-37.7823977985879	1.38859020034067e-12	6.64885471824659e-10	19.5872444046358
ENSMUSG00000056494	Cngb3	4.50027373584431	6.70895221307363	41.5004850105282	1.43057823158258e-12	6.67865447414328e-10	19.5917175508314
ENSMUSG00000037224	Zfyve28	-2.66916502217429	5.20618450090374	-37.3519892913025	1.56528315466277e-12	7.00395853369709e-10	19.4640868244798
ENSMUSG00000071648	Rom1	-2.14355613993945	9.62660747582842	-37.3292670917337	1.57527181329805e-12	7.00395853369709e-10	19.4245076759696
ENSMUSG00000023439	Gnb3	2.837908475983	9.63093766840774	37.2148146548818	1.62665713153657e-12	7.06423145914275e-10	19.3930061591674
ENSMUSG00000035517	Tdrd7	-2.17608575608419	7.32781583803335	-36.9694209266603	1.74312479744716e-12	7.39798010625643e-10	19.3347484556913
ENSMUSG00000055865	Tafa3	3.09283571511075	8.59688734515392	37.326743802148	1.79686665073328e-12	7.45659729684294e-10	19.3057831680631
ENSMUSG00000021908	Ncoa4-ps	10.1854895733523	-0.622740947294595	35.9367484356129	2.34370802381368e-12	9.51443557319495e-10	15.5808073723146
ENSMUSG00000067220	Cnga1	-13.4345499116245	2.84852103584861	-35.5703744937858	2.60853250564484e-12	1.01610126745458e-09	15.5814192538608
ENSMUSG00000023978	Prph2	-2.07147815140778	10.9973621404892	-35.4787567846483	2.67976202726944e-12	1.01610126745458e-09	18.8746064374051
ENSMUSG00000102375	A930036K24Rik	-8.12591658788249	2.14524013960054	-35.3785370609572	2.76012557545696e-12	1.01610126745458e-09	16.5016857206486
ENSMUSG00000107470	Gm3375	10.3565881443042	-0.537218367225186	35.3089706200684	2.81745848171859e-12	1.01610126745458e-09	15.5080366465862
ENSMUSG00000030878	Cdr2	-3.70477172508639	5.9999124711813	-35.9934152895102	2.83031363736022e-12	1.01610126745458e-09	18.8854170003238
ENSMUSG00000025932	Eya1	4.63025233519847	3.76671397948691	35.2303508096968	2.88382603789968e-12	1.01610126745458e-09	18.5354530430286
ENSMUSG00000042282	Gucy2f	-5.98448111947945	5.38934012480738	-39.6736150079516	2.88386886446893e-12	1.01610126745458e-09	18.7637526005973
ENSMUSG00000026163	Sphkap	2.03369668727591	9.75841506704424	34.6976621130031	3.38119788937465e-12	1.16926832196634e-09	18.6346708023698
ENSMUSG00000018849	Wwc1	3.35263953476693	5.0022831242088	34.6077523109537	3.47405571944295e-12	1.17953666372505e-09	18.6616150122198
ENSMUSG00000037885	Stk35	-1.82308596906209	8.79895757613628	-33.8734493438627	4.34584058469123e-12	1.42374382467461e-09	18.3764602892755
ENSMUSG00000004655	Aqp1	-5.23582055455925	4.27944565099263	-33.8676465526175	4.35361909145302e-12	1.42374382467461e-09	18.2917380730763
ENSMUSG00000097666	A330094K24Rik	-2.73826325036241	4.52387628461619	-33.8170892272605	4.42203822593592e-12	1.42374382467461e-09	18.4227413757544
ENSMUSG00000025017	Pik3ap1	4.24130842870448	4.23343565950519	33.6005314671147	4.72871460031994e-12	1.48374211601608e-09	18.2570622350997
ENSMUSG00000021123	Rdh12	-1.9901689300119	7.8645549981234	-33.5467831795827	4.8083850235766e-12	1.48374211601608e-09	18.2793394822154
ENSMUSG00000028163	Nfkb1	2.73527213477289	5.92709141822398	33.4509738115699	4.95406943902269e-12	1.48374211601608e-09	18.3056797819026
ENSMUSG00000005583	Mef2c	-3.11817119378112	5.01632513621826	-33.4088949523661	5.01957362662324e-12	1.48374211601608e-09	18.304550841908
ENSMUSG00000021384	Susd3	-6.27956447502553	3.42471100900306	-33.3761854309968	5.07114727152934e-12	1.48374211601608e-09	17.6890495332051
ENSMUSG00000111390	Gm48796	2.31048036566955	5.22524159454432	33.3673873513601	5.08511810137245e-12	1.48374211601608e-09	18.2901579817404
ENSMUSG00000036030	Prtg	3.47841292810357	5.07847446150799	33.2953894237019	5.20104189142526e-12	1.49421932739193e-09	18.2656596773702
ENSMUSG00000018862	Otop3	3.97840093238421	5.19201124008962	33.2452496865242	5.2834788478413e-12	1.49490430309982e-09	18.2473992597915
ENSMUSG00000005124	Ccn4	-5.32314381150865	3.87004203961768	-33.0751476214884	5.57398148892684e-12	1.55356015409283e-09	17.9562015056152
ENSMUSG00000035283	Adrb1	2.9385492364558	5.50314887373092	32.9140411514367	5.86530122744183e-12	1.61071522237131e-09	18.1459082946958
ENSMUSG00000111052	Gm20139	-4.33197241946505	3.992874295795	-32.6774031093417	6.32384954959628e-12	1.71147197810378e-09	17.9723701287678
ENSMUSG00000141158		3.11320502492161	5.77948958345437	32.3395881233897	7.04782784978552e-12	1.85677310765256e-09	17.9555881375324
ENSMUSG00000066026	Dhrs3	-2.67272779343568	4.62770398580345	-32.3344154692857	7.05959572899922e-12	1.85677310765256e-09	17.9637430261257
ENSMUSG00000022438	Parvb	2.95647870341164	6.8044481071204	32.4121884089001	8.00063704064666e-12	2.07505411245883e-09	17.8000596297075
ENSMUSG00000087617	Gm14268	-2.45585027904168	4.99316545045759	-31.7772437399752	8.46248173722153e-12	2.16477238302568e-09	17.7789008294014
ENSMUSG00000025380	Fscn2	-4.41171272718211	4.21375635278198	-31.4527593486429	9.41819399626449e-12	2.35654022010434e-09	17.623688449188
ENSMUSG00000087278	A930006I01Rik	-4.34356228734787	3.56102554283387	-31.4379565154326	9.46452375001743e-12	2.35654022010434e-09	17.5153228537057
ENSMUSG00000025597	Klhl4	2.71358346232954	4.32834305695575	30.9189302595541	1.12577269493722e-11	2.73563188726373e-09	17.4932296542429
ENSMUSG00000024558	Mapk4	2.26950018704393	5.31665266569342	30.9130531377665	1.12800500867145e-11	2.73563188726373e-09	17.4806366856497
ENSMUSG00000041308	Sntb2	-1.91093060492017	6.79023306486483	-30.8158316308788	1.1656442194505e-11	2.79067181461778e-09	17.3783001275922
ENSMUSG00000034936	Arl4d	-1.98143006095554	5.74862202754875	-30.7607173516968	1.18759035930363e-11	2.80722308476404e-09	17.3996232338393
ENSMUSG00000018381	Abi3	4.20310605504633	4.04931604162253	30.5151044121987	1.29104203182842e-11	3.01361486279549e-09	17.2927626369421
ENSMUSG00000115575	Gm49024	-8.11227846355265	-1.88876467017377	-30.4503564029998	1.31992855219816e-11	3.03763930059209e-09	14.5968097770527
ENSMUSG00000040146	Rgl3	3.37813165648391	4.65473936083655	30.4196650108799	1.33386753051596e-11	3.03763930059209e-09	17.3273444684091
ENSMUSG00000110720	Gm46223	8.65922681926402	-1.38591902986625	30.3033255874799	1.38818577085162e-11	3.12325073311846e-09	14.6721574529714
ENSMUSG00000034573	Ptpn13	2.2070078009848	5.22224337189791	30.192394919367	1.4422393969328e-11	3.17056909677286e-09	17.2325412235172
ENSMUSG00000023979	Guca1b	-3.17321513516599	8.52174969697798	-34.2924735848971	1.44317432379615e-11	3.17056909677286e-09	17.2509201007476
ENSMUSG00000033701	Acbd6	2.23418139008876	5.67211008767489	30.0249756181337	1.52822876983704e-11	3.31838884278335e-09	17.1541887223138
ENSMUSG00000005649	Cabp5	2.01743118332171	7.44971384313276	29.9600482314787	1.563072857394e-11	3.35503707344546e-09	17.0592595428879
ENSMUSG00000032463	Faim	-2.08309212252292	5.06745050201027	-29.8900162776585	1.6016334529291e-11	3.39873898863614e-09	17.1241647510801
ENSMUSG00000028909	Ptpru	-3.10323707612708	3.6683169673858	-29.6865301947332	1.71970588063768e-11	3.58822226244824e-09	17.0454873958072
ENSMUSG00000028644	Ermap	4.86662087476917	2.90111303813807	29.6475672732846	1.74338268219866e-11	3.58822226244824e-09	16.6495419897304
ENSMUSG00000028876	Epha10	2.33663164367678	6.53122234382154	29.6391059421512	1.74857141417366e-11	3.58822226244824e-09	16.976403454894
ENSMUSG00000045817	Zfp36l2	-2.73936164181297	5.18663595584197	-29.5512521171662	1.80345566406051e-11	3.66062294246369e-09	17.0067712768622
ENSMUSG00000032737	Inppl1	2.29278241221402	5.5677285185646	29.3910318967879	1.9084655654282e-11	3.78827475682658e-09	16.9312651033649
ENSMUSG00000038963	Slco4a1	-2.0571333401178	6.64570264105812	-29.3612538921743	1.92870990137251e-11	3.78827475682658e-09	16.8587118075429
ENSMUSG00000020718	Polg2	-2.75133067137813	4.14262516420948	-29.3482063777606	1.93765406398555e-11	3.78827475682658e-09	16.955700963123
ENSMUSG00000118515	Gm53026	-6.61649786621214	1.5357790156148	-29.3339330882552	1.94749050367008e-11	3.78827475682658e-09	15.4460226235528
ENSMUSG00000029672	Fam3c	-2.06312381729029	6.77551890663712	-29.2875877830313	1.9798079027879e-11	3.81143636872796e-09	16.8267958912275
ENSMUSG00000031990	Jam3	2.3237572205893	6.00295798133054	29.1439612719141	2.08374517406458e-11	3.97059769188592e-09	16.819096109791
ENSMUSG00000028413	B4galt1	-2.1901656903203	5.10551644869942	-29.059763686616	2.14744121023772e-11	4.05063809696759e-09	16.823328318091
ENSMUSG00000015843	Rxrg	2.78029483561067	4.31794926973863	28.8348741572864	2.3282580374121e-11	4.34778905906336e-09	16.7732437449972
ENSMUSG00000026442	Nfasc	-1.74175004816652	8.33645096506921	-28.7744931179759	2.37959683990927e-11	4.39966251370947e-09	16.599306232934
ENSMUSG00000020598	Nrcam	1.60682761085611	8.10977634709204	28.6505246893564	2.48892570642371e-11	4.55668614134867e-09	16.5558155827092
ENSMUSG00000110333	Gm45861	6.66653402412106	2.68852794314994	28.4370081365437	2.69033585532737e-11	4.87100001934308e-09	15.8043405335312
ENSMUSG00000052613	Pcdh15	2.1031059503359	9.46332615143272	28.4143069497635	2.71277713404562e-11	4.87100001934308e-09	16.4549417621429
ENSMUSG00000039046	Usp6nl	-1.79584291951231	6.47545791460059	-28.2505450267259	2.88086180182013e-11	5.12354412258944e-09	16.4418200345466
ENSMUSG00000121395		1.52035875199819	6.68194860223302	28.2105701961421	2.92360018952704e-11	5.15050093766301e-09	16.4206300379928
ENSMUSG00000026409	Pfkfb2	-1.59916040184328	8.27273878625168	-28.1512461498424	2.98830920111498e-11	5.21529775903002e-09	16.3594136984187
ENSMUSG00000022911	Arl13b	-1.81054984202722	5.32844129612946	-28.0884273620109	3.05854239251419e-11	5.28844635535277e-09	16.4402571810783
ENSMUSG00000112354	Gm33843	-1.88733970336351	4.77001068739822	-28.0027668806155	3.15723923791535e-11	5.40901702099369e-09	16.4401979762401
ENSMUSG00000032181	Scg3	1.4505258756988	7.93612316307097	27.8733174549165	3.31306263248764e-11	5.62437559991584e-09	16.2560676524833
ENSMUSG00000027253	Lrp4	-1.79806888269403	5.402737324802	-27.8482448476564	3.34420537187536e-11	5.62609829859463e-09	16.3429261356432
ENSMUSG00000037627	Rgs22	2.66983416348884	3.84971525836767	27.7539723711113	3.46419903399447e-11	5.77593328221543e-09	16.3728260874174
ENSMUSG00000021364	Elovl2	2.11985066960452	7.36069950280394	27.6061535921541	3.66193876474837e-11	6.05159685777974e-09	16.1681715421344
ENSMUSG00000026114	Cnga3	3.6757482283994	5.73833728657387	30.5413753296406	3.85841018263581e-11	6.3203466447843e-09	16.3101613857596
ENSMUSG00000052609	Plekhg3	-1.6898151093925	5.94441180034649	-27.4397592123009	3.89941902269336e-11	6.33197833302399e-09	16.1484720302438
ENSMUSG00000042476	Abcb4	2.70585315664626	3.73632482284475	27.3310900077948	4.06358131540342e-11	6.54166530033133e-09	16.211774671065
ENSMUSG00000115338	Pnp	2.34785428382391	4.61889415776442	27.3006937142092	4.11084200672743e-11	6.56118492595111e-09	16.1909603355304
ENSMUSG00000035615	Frmpd1	-2.50966826485528	6.78140246989831	-27.7702459586147	4.17353470872628e-11	6.60479552125038e-09	16.0700369512576
ENSMUSG00000026672	Optn	-1.68156286167768	6.70442964260694	-27.1682341430195	4.32392823887793e-11	6.78529713721063e-09	16.0047524829083
ENSMUSG00000099373	Gm19667	-3.13294444488543	4.71204477902297	-27.097463798993	4.4427045093506e-11	6.91358866730109e-09	16.1131030478529
ENSMUSG00000115317	Gm32618	2.23253021549307	4.52814393422336	26.9726990958955	4.66088751217417e-11	7.19317466135044e-09	16.0651716766316
ENSMUSG00000024424	Ttc39c	-1.82588825635631	5.10385798558601	-26.6401316252121	5.30188372743332e-11	8.11535874804015e-09	15.8840236387516
ENSMUSG00000021187	Tc2n	4.5734854225867	2.69240404905714	26.5715505526233	5.44571563022689e-11	8.26774745356561e-09	15.6443677281294
ENSMUSG00000044026	Slc35g1	2.32826665501198	5.42645709414322	26.3734248644879	5.88576269849714e-11	8.79336933062327e-09	15.7746678819591
ENSMUSG00000079173	Zan	-5.64414334485506	3.15741776291337	-26.3576016705561	5.92254842782636e-11	8.79336933062327e-09	15.6233582013888
ENSMUSG00000040274	Cdk6	2.96052559612624	5.15339490982523	26.4760700074603	5.93319340076326e-11	8.79336933062327e-09	15.8032496549047
ENSMUSG00000074259	Gramd2a	-5.79678490902535	4.32503596859247	-30.1257754424346	5.9865167304938e-11	8.80253649017648e-09	15.7989878982374
ENSMUSG00000118631	Gm53019	-4.68769511552943	2.57075451187645	-26.3021670705762	6.05341971869012e-11	8.83137186147026e-09	15.5587750863688
ENSMUSG00000021536	Adcy2	1.42442763246892	7.26551395944232	26.153596016219	6.42003113266673e-11	9.29361716057507e-09	15.5711506633122
ENSMUSG00000097682	4930554H23Rik	4.8295114842775	2.16425803242068	26.071829755073	6.63210395256434e-11	9.52676224693742e-09	15.2532773200585
ENSMUSG00000022565	Plec	2.36836657862093	7.38652539558561	26.6551728148203	6.94870662924804e-11	9.81894492829825e-09	15.5248630040428
ENSMUSG00000072769	Gm10419	2.49705584402861	5.58082667920032	25.9456095542835	6.97467025981381e-11	9.81894492829825e-09	15.5916718507196
ENSMUSG00000025417	Pip4k2c	-1.5136910636229	6.80539197254187	-25.9389583778449	6.9932509128396e-11	9.81894492829825e-09	15.491943320679
ENSMUSG00000033684	Qsox1	1.67220629833759	6.3555159681361	25.6886464135924	7.73345256050389e-11	1.07772009787201e-08	15.4139753455616
ENSMUSG00000061288	Taok3	-1.69558925465947	6.57944551260389	-25.6650825849145	7.8074280217595e-11	1.0799697102099e-08	15.3864938812204
ENSMUSG00000021221	Dpf3	-1.70183560802075	5.90772686643613	-25.5852224201661	8.06395144025536e-11	1.10725168525977e-08	15.3881869995146
ENSMUSG00000120359	Gm56825	-8.91461466166806	-1.48706745280171	-25.4124133093276	8.651173723426e-11	1.17921181103107e-08	13.6494542565188
ENSMUSG00000060988	Galnt13	1.38786535182811	6.91780347276837	25.3791111293725	8.76962634489211e-11	1.18669566930808e-08	15.2520079568359
ENSMUSG00000026819	Slc25a25	-1.56086875700276	6.56464665717737	-25.2030893724907	9.42591583336342e-11	1.25765477429132e-08	15.1863828138981
ENSMUSG00000038151	Prdm1	1.92113430848217	5.53897968626195	25.2023697722407	9.42870667242072e-11	1.25765477429132e-08	15.2644378213641
ENSMUSG00000027889	Ampd2	2.16267122503443	7.29070864816465	25.3835586346042	9.73419794487424e-11	1.28919441434455e-08	15.1499745986071
ENSMUSG00000126306		1.70294370606491	5.47744390359611	25.0909810463652	9.87180280028510e-11	1.29821158797552e-08	15.2155522838022
ENSMUSG00000092210	A930009A15Rik	3.60554174723887	2.72809708324841	24.8997421640735	1.06865918605775e-10	1.39553438045052e-08	15.1460930256905
ENSMUSG00000024511	Rab27b	1.67621043159109	5.47722937756208	24.7294387220904	1.14743467452203e-10	1.48799966055725e-08	15.0571352191174
ENSMUSG00000038515	Grtp1	-2.19015512614186	5.85663555829903	-24.711496395629	1.15609693261695e-10	1.48889338756475e-08	15.0225770607402
ENSMUSG00000029314	Gpat3	3.32559625252205	3.74634587691282	24.3690370622611	1.33592159350881e-10	1.70768117148937e-08	15.0306452906627
ENSMUSG00000057897	Camk2b	1.71562923866459	8.22485235974294	24.345419453793	1.34940549117683e-10	1.70768117148937e-08	14.7645793967103
ENSMUSG00000028538	St3gal3	2.17200405422903	5.62423411719303	24.3384454845643	1.35341551558545e-10	1.70768117148937e-08	14.8854354701848
ENSMUSG00000040046	Tph1	4.05688108745325	2.3140139927164	24.2621533377881	1.39814464750964e-10	1.75212968908665e-08	14.7711102947415
ENSMUSG00000020848	Doc2b	1.23806209614773	7.92038734485499	24.246686255357	1.40740844684051e-10	1.75212968908665e-08	14.7223970964356
ENSMUSG00000041609	Bicdl1	-1.29225785138589	7.38549355334087	-24.1382745236934	1.47425525163031e-10	1.81581831697592e-08	14.6819922716924
ENSMUSG00000102697	Pcdhac2	1.73935345801711	5.92949641407574	24.1323386335243	1.47801426678987e-10	1.81581831697592e-08	14.7585994480074
ENSMUSG00000120606	Gm56756	-3.17261213525586	2.81479293293485	-24.0690738037733	1.51873555143313e-10	1.85365148284067e-08	14.8709731078866
ENSMUSG00000129437	Gm9925	2.80247166749087	2.97193704063592	23.8713213356653	1.65413874578389e-10	2.00580434667327e-08	14.7992222115791
ENSMUSG00000024565	Sall3	2.71984468518724	4.17253733733558	23.8161028363816	1.69426595929385e-10	2.04120790476474e-08	14.7740381991032
ENSMUSG00000027177	Hipk3	-1.58636376581881	7.33119257042693	-23.7972430920743	1.70821417406337e-10	2.04481996708072e-08	14.5284865680983
ENSMUSG00000038991	Txndc5	1.31441105072492	6.27302972927585	23.7474116851982	1.74567612564539e-10	2.07635388345873e-08	14.551530522514
ENSMUSG00000110221	Gm36210	3.9720806721656	2.63312321718908	23.6702807396163	1.80544445983367e-10	2.13385252170468e-08	14.6183857909712
ENSMUSG00000044408	Sptssa	1.65548472433809	6.27867651961246	23.5352707304723	1.91552104296694e-10	2.24971320480281e-08	14.4592454612028
ENSMUSG00000021871	Gm49342	2.88301124834815	3.02951072257269	23.3938562551889	2.03874128138061e-10	2.37946591803135e-08	14.5978934226458
ENSMUSG00000120669	Gm56531	-4.09524802056026	2.6491899309994	-23.335079183052	2.09248366484026e-10	2.42702111535572e-08	14.5040189507448
ENSMUSG00000057530	Ece1	2.64524647775801	7.00442217975776	26.3481754210112	2.17871738912877e-10	2.51144250151794e-08	14.4516555796174
ENSMUSG00000071856	Mcc	1.54310463967696	5.544084606554	23.1533900204274	2.2686448849821e-10	2.5990597903163e-08	14.3311491725855
ENSMUSG00000018169	Mfng	2.49996438771229	4.15694785853128	23.0932951364965	2.33042994794706e-10	2.65356395414411e-08	14.4441501853225
ENSMUSG00000044768	Macir	-1.81921618776029	5.63030790063483	-23.0441875541865	2.38228534845614e-10	2.69616949073152e-08	14.2682215284944
ENSMUSG00000037325	Bbs7	-1.57806819183144	6.66979666327465	-22.9540193463469	2.48081464053063e-10	2.78982437805198e-08	14.1551040525826
ENSMUSG00000074093	Svip	1.74511161958619	6.43179283873952	22.9414352878602	2.49491630681526e-10	2.78982437805198e-08	14.1716273692877
ENSMUSG00000122499		5.01662073975425	2.39105835189916	22.8334317597189	2.61961259536457e-10	2.8977935852778e-08	14.1293535084906
ENSMUSG00000106905	Gm42741	2.92281193441773	3.73495619704703	22.8309912896189	2.62250785001579e-10	2.8977935852778e-08	14.3524824481447
ENSMUSG00000035200	Chrnb4	2.99490759449917	3.94710290548443	22.7897269062988	2.67199529915864e-10	2.93510824802873e-08	14.3260556313234
ENSMUSG00000050619	Zscan29	-1.37860847453568	5.42187123791162	-22.7340482236602	2.74039469277106e-10	2.99263921010566e-08	14.12841406519
ENSMUSG00000107548	Gm43866	-12.7335017610653	0.422707723494167	-26.0112951229823	2.81846166474407e-10	3.05999727485063e-08	12.6009642565713
ENSMUSG00000026457	Adipor1	-1.45712372485651	8.10846930561326	-22.6421297430304	2.85753961849574e-10	3.08449103097049e-08	13.9635623312596
ENSMUSG00000095930	Nim1k	-1.98172731794336	5.53994051324899	-22.6134855473077	2.89515542059881e-10	3.10713404162427e-08	14.073706941106
ENSMUSG00000110344	Smim36	-1.60565634946893	5.15747128194966	-22.49814768606	3.05219024579381e-10	3.25694860856878e-08	14.0430423812217
ENSMUSG00000025076	Casp7	2.63003614622662	6.67399206678775	25.4162218988483	3.08097052006383e-10	3.268979743845e-08	14.1007106024233
ENSMUSG00000114414	A930014D07Rik	-6.65184785040991	0.427946357645723	-22.4557964257628	3.11217013524281e-10	3.27416194339412e-08	12.8785707726776
ENSMUSG00000104336	Gm34240	6.60385231582508	-2.41375795339313	22.449692035556	3.12092120554864e-10	3.27416194339412e-08	12.6566951089367
ENSMUSG00000030898	Cckbr	4.13983137017994	4.94063887627714	26.4793780687725	3.18207602456552e-10	3.31966970294617e-08	14.2506456710469
ENSMUSG00000021928	Ebpl	-3.19324003184973	5.34661832731492	-25.474174292786	3.26663871150159e-10	3.37193315661827e-08	14.1395818032099
ENSMUSG00000062859	Tcp11	-4.75088795987497	2.06597684601546	-22.3496181440287	3.26828693021263e-10	3.37193315661827e-08	13.9265894279721
ENSMUSG00000035539	Ccdc180	-6.69116763016494	-0.77158687363605	-22.2271801389579	3.45902067120806e-10	3.54910725352414e-08	12.7479584066877
ENSMUSG00000117730	Gm5503	6.88756194442036	-2.27136126270754	22.202039035226	3.49967226856109e-10	3.57119562530655e-08	12.6239642066752
ENSMUSG00000021983	Atp8a2	-1.24049017469064	7.81335092087211	-22.1638842912758	3.5623673158274e-10	3.61541561172613e-08	13.7322171730136
ENSMUSG00000084913	Gm7616	-8.27019696164288	-1.28284560892006	-22.1348033088493	3.61097705503904e-10	3.62768475222828e-08	12.7370892300838
ENSMUSG00000022844	Pdia5	-2.76481014154092	3.47900271121257	-22.1334188560902	3.61330922091924e-10	3.62768475222828e-08	14.0301893562483
ENSMUSG00000071647	Eml3	-1.28754736074121	7.24873155728598	-21.9701234861961	3.90029118336906e-10	3.89486831862213e-08	13.6488099149561
ENSMUSG00000053420	Gm4792	1.5550118758277	6.97532198272086	21.9416433570741	3.95284927638561e-10	3.92635677591622e-08	13.6514192566331
ENSMUSG00000033949	Trim36	-1.78667583325741	4.24897188930851	-21.8370580473045	4.15259954996955e-10	4.10294412677944e-08	13.8114537361594
ENSMUSG00000022383	Ppara	-2.46846913278934	3.1649696355974	-21.7607430574016	4.30531397579344e-10	4.23144385178772e-08	13.8608216402217
ENSMUSG00000030350	Prmt8	1.93297754605125	5.74495473767014	21.7139843357885	4.40190952355549e-10	4.3037308085275e-08	13.6237469528597
